Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
1310;0,02;0,0204;0,7208;0,0044;22,3447;3,9462;1,7229;True;True;0,2505;0,5409;0,1694;7,3686;59,4629;323,3605;12,5266;27,0474;8,4700;146,7240;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1315;0,12;0,0202;0,7210;0,0040;22,2229;3,8898;1,6119;True;True;0,2482;0,5426;0,1671;7,9240;60,2545;324,5725;-0,0266;-0,0125;-0,0041;151,3487;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1320;0,2;0,0203;0,7209;0,0038;22,2769;3,8551;1,5769;True;True;0,2467;0,5425;0,1666;8,2297;60,1618;324,7106;-0,0076;-0,0007;-0,0004;153,3479;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1330;0,34;0,0207;0,7200;0,0046;22,6138;3,9533;1,5533;True;True;0,2462;0,5417;0,1664;8,4876;59,9624;325,4654;0,0029;0,0025;0,0000;154,8063;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1335;0,4;0,0213;0,7189;0,0051;23,0535;4,2174;1,5557;True;True;0,2462;0,5422;0,1662;8,1125;59,4706;325,6347;-0,0045;0,0121;-0,0071;154,9502;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1340;0,4800001;0,0225;0,7177;0,0056;23,5910;4,5456;1,7218;True;True;0,2439;0,5434;0,1648;8,4667;60,3993;328,4055;-0,0278;0,0062;-0,0043;156,8410;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1345;0,54;0,0238;0,7162;0,0059;24,3331;5,1305;1,8833;True;True;0,2336;0,5431;0,1781;10,9909;62,3982;334,5441;-0,2952;-0,0715;0,4314;-161,1016;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1350;0,6199999;0,0245;0,7150;0,0074;24,6709;5,3930;2,0364;True;True;0,2132;0,5211;0,2050;11,5390;62,7801;341,5220;-0,1666;-0,2594;0,2949;-163,7680;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1355;0,6799999;0,0238;0,7135;0,0089;25,2991;5,2182;1,8215;True;True;0,1920;0,4759;0,2219;9,1174;60,9312;349,7906;-0,5309;-0,7732;0,2032;-161,9847;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
1360;0,7599998;0,0218;0,7119;0,0110;25,7806;4,5870;1,7063;True;True;0,1640;0,4472;0,2298;11,9533;60,5818;0,7637;-0,1783;-0,2532;0,1232;-164,2627;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
